Store_Area,Items_Available,Daily_Customer_Count,Store_Sales
1659,1961,530,66490
1461,1752,210,39820
1340,1609,720,54010
1451,1748,620,53730
1770,2111,450,46620
1442,1733,760,45260
1542,1858,1030,72240
1261,1507,1020,37720
1090,1321,680,46310
1030,1235,1130,44150
1187,1439,1090,71280
1751,2098,720,57620
1746,2064,1050,60470
1615,1931,1160,59130
1469,1756,770,66360
1644,1950,790,78870
1578,1907,1440,77250
1703,2045,670,38170
1438,1731,1030,63540
1940,2340,980,40190
1421,1700,370,43460
1458,1746,690,68890
1719,2065,950,52780
1449,1752,620,50680
1234,1488,840,41880
1732,2073,820,70050
1475,1777,1100,25820
1390,1648,980,60530
1642,1943,710,78100
1715,2071,650,84860
1439,1746,990,80140
1250,1508,990,14920
1331,1608,880,60460
1784,2163,620,74560
1375,1648,1020,72430
1871,2230,700,45460
1442,1744,610,41570
1174,1411,1080,62870
1839,2204,1010,55170
1270,1516,10,45480
1435,1725,1250,49550
965,1152,600,48140
1665,2001,730,67640
1780,2117,780,39730
1009,1194,520,35800
1227,1471,870,49270
1769,2087,690,66510
1660,1982,910,62530
1472,1776,1260,59980
1408,1688,1040,76350
1514,1820,910,81820
1565,1880,1300,57830
1074,1288,320,70450
1864,2240,530,67000
1570,1898,980,64090
1417,1701,740,48670
1734,2060,1240,66210
1470,1763,1080,83660
1761,2104,1080,70770
1756,2070,460,53870
1704,2045,300,71300
2011,2391,530,46100
1472,1748,600,49100
1310,1561,860,65920
1544,1821,590,58660
1707,2052,920,69130
1881,2262,570,49080
1416,1681,290,72710
1631,1941,650,33430
1318,1576,710,42430
1692,2019,850,56650
1152,1380,530,33580
891,1073,630,67370
1468,1749,700,71780
1539,1833,650,84840
1635,1956,720,82070
1267,1520,450,26770
1250,1475,1390,65560
1720,2044,960,38660
1462,1761,600,65660
1431,1711,620,40700
1539,1858,1020,88910
1441,1723,330,57860
1572,1884,1410,42670
1287,1525,1200,90180
1468,1760,280,51280
1931,2342,940,97260
1252,1506,850,39650
1238,1468,960,45720
1479,1758,420,42060
1590,1912,830,65350
2169,2617,600,67080
1838,2205,400,54030
1385,1655,760,56360
1921,2305,1470,77120
1975,2385,500,50810
1853,2235,1120,60960
1816,2171,1160,61180
1785,2147,820,63660
1579,1899,1140,41190
1096,1321,900,78420
1919,2294,760,65580
1262,1500,1170,89080
1374,1655,1080,94170
1309,1587,1000,50950
1207,1434,690,65180
1692,2031,810,69310
1929,2311,630,79210
1573,1878,650,23740
1415,1700,920,36330
1162,1382,1260,51700
1485,1787,800,62950
1897,2248,1330,56010
1607,1927,940,45080
1909,2287,1210,46830
1274,1503,660,64750
1157,1379,770,80780
1712,2046,460,31180
1500,1798,860,56710
1682,2017,780,49390
1441,1727,890,66000
1525,1835,900,32770
1408,1669,530,46580
1947,2333,790,79780
1164,1390,370,35510
1787,2137,610,80970
1871,2241,500,61150
1718,2051,750,49210
1365,1636,980,79950
1368,1654,530,68740
1342,1595,910,57480
1076,1270,620,72630
1396,1672,1170,50070
1713,2071,900,40490
1370,1638,980,51850
1667,1993,740,42840
1638,1972,810,60940
1581,1905,810,62280
1795,2187,300,76530
1179,1412,790,85130
1978,2374,800,48590
1688,2042,760,73080
1214,1456,530,48950
1504,1805,540,48560
1498,1770,620,59380
1462,1762,1010,51190
1442,1750,130,58920
1250,1486,730,50360
1229,1480,830,38070
1936,2300,1060,49170
1369,1629,770,39740
1662,1986,70,63730
1548,1855,670,85330
1649,1963,490,27410
1393,1663,670,37320
1450,1734,380,71120
1613,1921,1200,72800
1408,1696,350,34410
775,932,1090,42530
1275,1534,1230,54300
1740,2078,680,50780
1372,1657,580,45020
1414,1723,680,69600
2044,2474,340,80340
1823,2176,700,37810
955,1133,580,46140
1465,1763,680,99570
1331,1606,630,38650
1232,1487,860,49800
1481,1765,490,69910
1343,1599,870,44910
1539,1837,990,78470
1007,1207,670,47460
1762,2145,490,33460
1527,1832,580,44090
1356,1619,700,42620
1536,1848,670,69450
1605,1902,390,73120
1704,2032,590,48300
1626,1941,1350,58090
1612,1939,840,74250
1174,1396,1100,40930
1923,2339,950,70930
1702,2053,950,64670
1398,1692,650,77420
1437,1717,230,32330
1524,1796,1060,41080
1660,1985,1180,42860
1302,1569,710,68450
1666,2000,480,39730
1391,1649,810,83750
1778,2148,1140,69940
1462,1770,1070,67710
1751,2115,790,67360
1652,1982,690,52460
1841,2215,610,88760
1496,1791,1240,67030
1504,1827,840,78230
1524,1808,460,62270
1148,1371,940,49760
1468,1744,590,73660
1310,1558,890,72320
1321,1579,770,68890
992,1192,900,34180
1540,1857,1020,58260
1807,2149,910,38120
1526,1853,660,49070
1406,1677,480,61660
1703,2055,1080,37830
1575,1872,690,52270
1309,1572,510,52280
1488,1807,1030,70810
1658,1988,370,71530
1863,2245,640,77260
1458,1725,750,75550
1604,1909,370,33730
1575,1899,840,66270
1525,1829,840,55820
1451,1737,890,68430
1390,1687,620,73990
1442,1742,310,62800
1620,1922,550,33740
1251,1527,380,63830
1318,1606,1200,24410
1647,1962,800,70020
1829,2175,870,92240
1852,2227,1220,68230
1699,2053,1080,81870
1325,1595,540,73860
1350,1634,880,77120
1347,1628,120,72350
1397,1661,1410,49160
1245,1499,570,45650
1366,1649,940,52780
1378,1658,760,90960
1767,2110,1200,64950
1184,1434,670,47230
1257,1505,950,83250
1863,2247,480,51950
1881,2244,920,66030
1329,1609,1150,68590
1539,1848,750,47140
1557,1861,370,69940
2007,2397,610,65890
1185,1418,1150,89310
1657,2003,1070,58540
1294,1539,790,78130
1296,1559,1070,92300
1733,2097,730,56170
1641,1976,620,46050
1373,1648,530,43390
1550,1845,700,61750
1583,1907,680,21830
1428,1719,1060,39800
1604,1925,670,54370
1439,1735,400,62470
1648,2003,910,82930
1025,1231,760,63720
2001,2394,540,79180
1145,1370,350,38210
1174,1426,980,25950
913,1106,860,56610
1199,1433,1020,73710
1875,2254,1120,70400
1153,1397,1020,50440
1240,1492,940,66840
1381,1660,970,50170
1701,2030,830,60140
1206,1456,920,37130
1476,1777,660,42890
1189,1439,780,26220
1837,2220,340,50840
1319,1571,1190,25630
1617,1901,490,60770
1631,1967,1090,69600
1517,1805,1040,41740
1764,2109,1210,50130
1572,1869,1030,21750
1855,2197,1170,80490
1327,1571,730,34020
1270,1515,720,60240
1734,2073,500,39460
1533,1848,1070,56440
1390,1646,800,46840
1856,2216,1020,64820
1000,1215,1070,52520
1313,1586,420,45940
1494,1799,510,38970
1386,1674,1210,58610
1979,2364,660,30810
1057,1264,360,47730
902,1093,1210,64640
1347,1622,560,44860
1314,1576,360,55660
1513,1803,970,57530
1305,1548,480,75200
1180,1436,690,37330
1142,1352,710,35280
1471,1768,780,70610
1075,1288,630,49720
1578,1885,220,68850
1585,1916,1110,50740
1391,1648,720,77070
1577,1892,560,74730
1092,1314,600,76530
1375,1681,440,68900
1523,1813,520,44960
1373,1654,410,41490
1550,1871,590,74320
1614,1946,740,73800
1566,1889,610,56400
2019,2396,540,71570
1494,1806,1450,43640
1659,2008,620,35120
1766,2131,340,58670
1293,1554,970,75800
1375,1659,1080,76640
1236,1484,560,31890
1332,1586,630,61670
1513,1825,980,75950
1208,1459,930,41490
1190,1429,470,66170
1448,1734,680,37980
1771,2147,430,62710
1365,1645,830,60470
1510,1810,950,35230
1458,1736,870,48550
1808,2157,730,56810
1615,1954,760,41080
1640,1948,960,51270
1060,1273,860,57500
1633,1968,330,81470
1222,1473,630,49570
1619,1957,1280,45580
1624,1973,1440,44660
1887,2278,570,76240
1320,1583,540,43720
1450,1750,480,46700
1455,1764,390,84690
966,1172,900,85470
1922,2290,290,80410
1678,1999,740,46650
1638,1952,690,81840
1145,1375,950,63590
2004,2390,930,50130
1954,2378,810,45820
1577,1879,760,86710
1766,2138,580,49980
1362,1634,770,82940
1886,2228,1530,40350
1291,1546,420,93950
1584,1897,1210,47310
1397,1686,850,21300
1445,1709,1340,62180
1433,1707,1160,61460
1269,1511,500,54360
1798,2134,820,72050
1514,1822,670,48090
1015,1216,460,27310
1495,1799,950,57160
1759,2095,980,34190
1219,1468,850,35600
1571,1877,580,54670
1404,1670,620,76730
1124,1369,650,63540
1514,1837,1130,36690
1207,1476,720,87370
1484,1774,940,59800
1398,1678,920,48030
1769,2112,660,96650
1111,1322,610,65500
1078,1305,1190,55530
1876,2254,1340,21650
1909,2306,820,31940
1940,2343,1130,84690
1391,1683,890,68390
1496,1774,810,75490
1412,1699,680,39200
1121,1345,320,85670
1691,2026,700,60530
1599,1946,940,78090
1208,1467,910,50720
1454,1737,870,23090
1555,1881,1260,91360
1554,1852,440,48120
1491,1800,980,75620
1415,1697,1200,39420
1487,1801,890,51130
1339,1589,1050,33890
1320,1562,610,87170
1509,1799,960,38600
1406,1680,860,60980
1264,1502,800,79410
1905,2280,1060,82350
1209,1464,600,36740
1546,1829,380,27720
1689,2044,1140,32260
1153,1381,730,53270
2063,2493,810,51480
1848,2254,1000,59970
1718,2056,1220,83600
1480,1773,360,63020
1439,1724,900,50920
1576,1896,750,56450
1948,2374,930,89540
1613,1893,1180,46030
896,1059,870,75110
1625,1943,680,74520
1303,1587,1310,102310
1340,1605,1000,53400
1410,1704,1130,59760
1432,1719,990,49540
1891,2280,360,51560
1322,1583,720,49510
1378,1670,950,58610
1462,1732,840,68260
1440,1733,1120,65310
1421,1724,920,52090
1280,1530,1240,43860
1431,1710,840,74170
1161,1404,430,58380
1175,1405,810,91200
1395,1662,920,90940
1443,1755,880,49330
1247,1523,1350,53500
1788,2133,1000,54590
1138,1375,1220,57450
1709,2042,430,33240
1777,2145,520,80790
1612,1918,580,61000
1618,1943,460,47620
1311,1571,470,72090
1365,1638,680,102920
1249,1503,950,61970
1373,1635,840,61040
1536,1836,990,52060
1744,2101,520,69570
1513,1820,520,66020
1297,1561,1070,40000
1908,2304,990,79500
1721,2076,710,76300
1243,1491,430,69030
1472,1766,1290,57140
1307,1570,1080,41710
1628,1959,890,71480
1556,1869,1000,33010
1179,1428,1290,74570
1768,2123,860,49590
1378,1656,1010,73170
1685,2015,1160,79220
1474,1759,880,75880
1794,2137,670,67610
1086,1291,930,69090
1808,2154,990,35220
1501,1790,450,53940
1353,1598,690,56660
1455,1757,650,67520
1165,1411,1020,38620
1332,1610,880,38890
1396,1668,760,79270
1513,1821,690,42880
1618,1940,630,44240
1845,2233,370,43190
1172,1411,460,74550
1436,1737,770,57090
1738,2065,750,56480
2229,2667,660,87410
1490,1783,730,81370
1060,1279,670,97360
2015,2436,680,77960
1611,1919,960,71240
1187,1417,1230,58940
1430,1690,800,78950
1543,1840,450,36380
1836,2195,940,45160
1463,1764,1060,69050
1213,1462,560,56830
1244,1480,860,93530
1745,2108,730,46920
933,1121,940,55990
1764,2132,920,40840
1675,2002,1050,64990
1688,2046,380,53550
1842,2204,930,51320
1316,1597,980,36560
1440,1719,580,66050
1760,2111,680,52400
1323,1571,850,27970
1230,1466,730,67100
1540,1838,570,43710
1167,1388,620,38600
1429,1695,890,53890
1491,1770,800,52610
1313,1574,920,43130
1609,1943,920,40300
1109,1342,760,49750
1207,1440,500,43840
902,1087,680,56820
1191,1422,770,36350
1335,1601,460,50820
1382,1660,1070,83720
1588,1906,450,46970
1918,2284,310,78020
1484,1774,880,45080
1334,1607,370,55160
1556,1846,760,72020
1784,2142,950,64010
1244,1477,890,27840
1496,1787,800,58070
1719,2058,700,51760
1678,2022,1050,66050
1247,1490,330,65750
1191,1421,980,65820
1832,2208,1090,46760
1271,1523,1140,50940
1735,2084,820,56440
1627,1948,890,32610
1351,1616,650,62770
1520,1817,850,63600
1490,1788,360,45840
1777,2117,780,38280
1688,2037,590,50960
1537,1836,670,39480
1622,1968,340,69610
1148,1384,730,47800
1001,1194,1210,44890
1857,2236,1280,67420
1552,1869,710,78870
1700,2064,940,70310
1554,1844,670,38530
1482,1777,800,77570
1275,1517,790,59920
1642,1981,720,54450
1381,1633,1270,50250
1381,1634,930,30790
1057,1262,1490,35420
1192,1445,810,43470
1601,1920,600,61000
1622,1968,210,64780
1607,1909,460,39030
2214,2647,740,65900
1633,1936,1320,46050
1546,1845,760,59070
1475,1753,920,44670
1270,1519,920,58390
1185,1420,880,80370
1614,1938,1110,53230
1141,1353,1370,72000
1244,1481,410,84040
869,1050,850,52540
2049,2465,720,63510
1883,2262,570,42240
1526,1842,690,39580
1165,1390,1220,54610
1832,2185,840,87330
1723,2072,560,88410
932,1138,820,89760
1137,1374,700,101780
1231,1472,810,70290
1237,1512,1070,88210
1371,1650,540,87160
1767,2158,530,41540
1748,2092,580,49170
1212,1440,500,63950
1466,1743,1200,70810
1152,1386,980,49590
1439,1703,1000,67290
2026,2400,720,51240
1772,2146,1030,48540
1511,1822,420,72410
1199,1461,1070,54370
1834,2184,830,94460
1143,1375,940,85160
1494,1794,550,52130
1770,2131,1140,54650
1455,1747,750,69320
1141,1372,620,51480
1586,1886,660,50060
1701,2034,660,62180
1860,2246,410,79780
1167,1406,440,42860
1424,1716,630,54410
1710,2053,730,69390
1408,1708,220,42810
1517,1831,610,30840
1227,1476,720,56260
1609,1930,740,76470
1553,1831,740,35680
1814,2174,770,90070
1240,1493,590,33120
1206,1437,1330,54060
1847,2186,910,75120
1009,1202,330,41600
1624,1946,870,20270
1612,1931,790,60060
1498,1805,1270,82270
946,1125,590,29170
1563,1872,1080,68420
1664,2016,830,59130
1619,1947,910,74330
1433,1722,830,77080
1241,1489,1380,76250
1429,1720,1180,59540
1241,1488,770,54690
1078,1306,680,84360
1690,2065,910,51420
1289,1536,540,65120
1581,1894,760,49380
1608,1945,760,37830
1344,1608,730,35980
1513,1804,430,69190
1529,1839,1000,50590
1677,2014,660,60800
1015,1229,930,31180
1438,1751,760,77790
1426,1718,370,47570
1412,1701,630,69130
1622,1944,360,75970
1503,1791,630,68350
1501,1789,670,41680
1971,2342,690,86560
1383,1687,830,81390
1371,1635,720,50730
1508,1823,520,71290
1057,1284,750,70110
1411,1680,1070,61590
1466,1746,590,69370
1545,1888,600,67110
2044,2408,380,82020
1887,2264,830,62050
1505,1836,940,61730
1422,1722,560,58660
1564,1869,1030,53370
1510,1810,730,39700
1568,1920,890,53750
1933,2338,1140,44730
1501,1822,590,49350
1593,1911,580,43340
1812,2189,310,78090
1580,1895,720,54950
1440,1749,490,75530
1100,1331,1010,57330
1534,1841,680,87930
1299,1555,1020,56850
1767,2121,1050,78430
1368,1649,740,63660
1393,1670,410,62960
1327,1590,770,81870
1514,1794,1400,54820
1989,2414,860,116320
1334,1584,840,57200
1533,1817,950,84360
1809,2145,940,36530
1607,1933,930,81260
1165,1387,1060,82350
1193,1430,560,80830
1709,2065,670,30610
1525,1839,540,51310
1348,1623,1010,72940
1132,1366,1340,52450
1667,2020,980,66070
1427,1720,630,43190
1211,1447,1110,40730
1717,2048,700,78530
1766,2111,580,94690
1086,1299,1050,44400
1410,1692,790,73800
1476,1760,600,37390
1068,1278,440,64120
1485,1785,1340,66160
1461,1739,1250,22310
1685,2010,990,62380
1624,1958,290,63850
1658,2000,350,36210
1427,1677,210,54590
1755,2072,810,69610
1211,1472,790,65390
1591,1896,780,78130
1797,2126,730,55710
1519,1823,1040,69210
1637,1958,760,59940
1451,1750,570,72550
1203,1446,620,44260
1884,2262,310,56910
1540,1820,310,82390
1121,1332,790,54590
1307,1562,490,69990
1475,1775,230,72740
1160,1401,900,35360
1078,1276,640,94370
1191,1436,840,43520
1317,1569,780,36000
1548,1858,480,99480
1560,1883,1040,83220
1297,1529,870,52940
1645,1958,530,93360
1225,1455,750,73590
1421,1704,840,53840
1655,1956,800,47350
1615,1928,660,65080
1872,2262,560,62050
1317,1581,910,30020
1434,1729,480,49510
1791,2167,700,64320
932,1120,660,35590
1609,1924,1170,63050
1495,1793,1020,65300
1769,2153,580,69560
1693,2032,610,41910
1247,1497,590,28330
1502,1815,190,55980
1360,1612,490,61080
1542,1844,680,51380
1631,1947,670,84410
1246,1482,1070,60680
1990,2384,1110,64690
967,1154,560,45780
1582,1894,1100,41800
1430,1743,970,53230
1827,2160,930,36160
1118,1338,1040,40450
1766,2109,1120,57910
1799,2173,910,36280
1167,1411,440,39190
1493,1795,530,62380
1445,1734,900,21470
1033,1237,740,34610
1440,1711,1020,88120
1487,1773,970,59190
1854,2205,890,36290
1748,2086,550,53760
1937,2310,520,66300
1641,1999,950,93000
1659,1999,650,65660
1743,2061,860,81930
1449,1733,320,60060
1098,1309,860,59530
1121,1351,900,46380
1526,1858,550,76200
1358,1645,770,56860
1336,1616,710,86620
1502,1802,840,49730
1534,1858,860,88370
1418,1699,870,49160
854,1018,660,77740
1450,1728,930,38560
1474,1776,1020,51990
1524,1819,1190,39970
1361,1638,1140,46040
1398,1683,490,49500
1085,1308,1170,76670
1660,1979,480,75800
1648,2017,930,81720
1453,1749,890,58440
1323,1591,680,85720
1385,1643,740,70940
1250,1506,990,62420
1389,1683,680,56880
1486,1758,820,101820
1655,1993,440,86890
1645,1963,900,47300
1464,1771,1080,31270
1197,1428,830,65410
1878,2264,310,54200
1150,1378,730,67390
1562,1881,740,54530
1596,1939,960,79760
1119,1345,790,78060
1116,1347,700,74080
1934,2349,750,52990
1299,1540,590,70580
1417,1689,570,34310
1235,1503,660,74160
1497,1815,700,59190
1430,1704,1070,43370
1537,1877,660,17670
1444,1742,840,56710
1477,1798,850,59820
1041,1246,600,36190
1226,1472,710,60440
1489,1783,450,75300
1549,1871,740,74080
1073,1280,1240,60440
1473,1785,570,80720
2013,2396,580,47060
1975,2368,450,86830
1561,1877,790,56790
1427,1723,1040,67090
1441,1747,670,44370
1275,1548,370,82970
1574,1876,620,56230
1511,1791,1010,53760
1428,1713,550,55390
1388,1672,800,73500
1057,1280,610,41050
1440,1747,1090,67320
1349,1610,700,65890
1536,1808,830,56380
2019,2420,850,85670
1236,1508,1260,70830
1436,1715,1030,48180
1862,2248,1160,51910
1200,1442,880,44320
1360,1650,420,58940
1722,2078,770,73610
1577,1902,910,54060
1850,2214,1110,85000
1447,1730,510,49030
1496,1800,780,63300
1679,2008,790,84300
994,1194,1090,81390
1354,1635,1270,95900
1597,1918,1260,71830
1873,2252,330,79310
1218,1459,540,87890
1458,1746,720,48610
1546,1860,670,73160
1608,1962,770,36280
1822,2160,860,49720
1716,2038,410,44400
1072,1296,900,47590
1330,1604,480,51460
1588,1892,540,57750
1425,1733,760,66000
1778,2133,280,45950
1363,1630,1120,53900
1609,1928,160,37920
1671,2024,620,63100
1379,1636,440,36770
1218,1452,870,43910
1724,2101,900,66390
986,1179,710,59160
1330,1606,590,38510
1437,1725,910,46220
1327,1609,1320,41500
1651,2009,1000,58160
1211,1462,670,38530
1916,2277,610,55880
1638,1937,1050,70940
1172,1413,480,53940
1350,1606,770,43030
1528,1843,340,59820
1305,1557,580,55500
1463,1751,900,49990
1409,1727,700,42980
1419,1743,860,65970
1535,1819,540,59290
1474,1745,970,63020
919,1099,1560,73810
2067,2492,790,70230
1977,2362,1020,59950
1293,1558,790,78100
1477,1790,880,16370
1582,1906,550,92640
1481,1789,550,63540
1214,1455,950,87220
1206,1460,810,41990
1653,1982,390,79410
1152,1393,860,54380
1458,1757,850,58600
1249,1510,660,48950
1939,2333,830,40670
1591,1919,640,52340
1180,1397,750,39140
1846,2195,1170,41090
780,951,790,25600
1565,1854,900,100900
1648,1959,370,77080
1775,2104,980,105150
1439,1732,1170,80580
1487,1776,800,46230
1800,2158,1100,98260
1690,2024,1070,75930
1209,1452,830,52050
1859,2222,1210,87000
1691,2023,540,60270
1259,1493,100,88270
1771,2138,820,57820
1205,1468,1210,61210
1792,2131,810,76420
1263,1516,780,70980
1344,1605,1160,76740
1819,2187,590,47920
1357,1625,1140,52160
1396,1673,690,32740
1118,1337,560,72270
1655,1986,1150,77430
1156,1398,140,92370
1451,1734,670,34880
1539,1829,650,46580
1549,1851,1220,70620
1582,1910,1080,66390
1387,1663,850,82080
1200,1436,1060,76440
1299,1560,770,96610
1174,1429,1110,54340
